Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
2383,86,12,147.29,3,3,4,334,10,LOYAL
3207,34,15,147.21,4,4,4,444,12,CHAMP
4734,38,10,147.11,4,3,4,434,11,POT_LOYAL
4773,51,17,147.1,4,4,4,444,12,CHAMP
3948,198,15,147.02,2,4,4,244,10,RISK
2041,97,14,146.7,3,4,4,344,11,LOYAL
3582,196,19,146.62,2,4,4,244,10,RISK
1329,221,16,146.6,2,4,4,244,10,RISK
1865,27,14,146.6,4,4,4,444,12,CHAMP
1229,285,8,146.4,1,2,4,124,7,LOYAL
4778,128,15,146.4,3,4,4,344,11,LOYAL
2117,53,13,146.28,4,3,4,434,11,POT_LOYAL
4388,285,14,146.26,1,4,4,144,9,CANT_LOSE
1509,0,17,146.2,4,4,4,444,12,CHAMP
3175,37,14,146.2,4,4,4,444,12,CHAMP
2069,181,10,146.1,2,3,4,234,9,LOYAL
3194,241,14,145.82,2,4,4,244,10,RISK
1566,41,21,145.77,4,4,4,444,12,CHAMP
4297,64,23,145.52,3,4,4,344,11,LOYAL
1659,30,15,145.51,4,4,4,444,12,CHAMP
4685,56,15,145.51,4,4,4,444,12,CHAMP
1333,99,18,145.5,3,4,4,344,11,LOYAL
2602,19,17,145.45,4,4,4,444,12,CHAMP
1811,98,18,145.31,3,4,4,344,11,LOYAL
3090,56,22,145.23,4,4,4,444,12,CHAMP
2056,36,18,145.23,4,4,4,444,12,CHAMP
4851,10,14,145.21,4,4,4,444,12,CHAMP
4030,8,20,145.05,4,4,4,444,12,CHAMP
1264,23,17,145.03,4,4,4,444,12,CHAMP
4953,81,16,144.9,3,4,4,344,11,LOYAL
2997,0,16,144.88,4,4,4,444,12,CHAMP
3774,13,12,144.7,4,3,4,434,11,POT_LOYAL
1283,47,16,144.7,4,4,4,444,12,CHAMP
2745,245,15,144.61,2,4,4,244,10,RISK
3508,137,17,144.61,3,4,4,344,11,LOYAL
4275,110,15,144.6,3,4,4,344,11,LOYAL
3507,50,18,144.41,4,4,4,444,12,CHAMP
1120,95,17,144.4,3,4,4,344,11,LOYAL
3101,13,14,144.1,4,4,4,444,12,CHAMP
2854,325,11,144.02,1,3,4,134,8,LOYAL
4807,195,13,144.01,2,3,4,234,9,LOYAL
3071,200,15,143.85,2,4,4,244,10,RISK
4391,279,14,143.84,1,4,4,144,9,CANT_LOSE
1133,149,12,143.82,2,3,4,234,9,LOYAL
3727,225,13,143.81,2,3,4,234,9,LOYAL
2582,46,12,143.8,4,3,4,434,11,POT_LOYAL
4267,81,14,143.7,3,4,4,344,11,LOYAL
4442,32,14,143.7,4,4,4,444,12,CHAMP
3688,68,15,143.66,3,4,4,344,11,LOYAL
4424,75,8,143.65,3,2,4,324,9,LOYAL
4681,110,14,143.62,3,4,4,344,11,LOYAL
1484,84,8,143.6,3,2,4,324,9,LOYAL
3266,66,22,143.55,3,4,4,344,11,LOYAL
2369,74,8,143.5,3,2,4,324,9,LOYAL
3505,80,15,143.2,3,4,4,344,11,LOYAL
3045,279,11,143.16,1,3,4,134,8,LOYAL
2836,1,12,143.13,4,3,4,434,11,POT_LOYAL
4557,72,8,143.01,3,2,4,324,9,LOYAL
4592,22,16,142.91,4,4,4,444,12,CHAMP
4024,75,14,142.9,3,4,4,344,11,LOYAL
4325,77,9,142.7,3,2,4,324,9,LOYAL
4564,56,17,142.26,4,4,4,444,12,CHAMP
3410,62,14,142.24,3,4,4,344,11,LOYAL
1839,82,11,142.2,3,3,4,334,10,LOYAL
2403,29,13,142.1,4,3,4,434,11,POT_LOYAL
1204,160,16,142.1,2,4,4,244,10,RISK
3803,7,19,142.06,4,4,4,444,12,CHAMP
2272,116,13,142.0,3,3,4,334,10,LOYAL
1584,173,16,141.95,2,4,4,244,10,RISK
3337,203,16,141.86,2,4,4,244,10,RISK
2244,276,15,141.8,1,4,4,144,9,CANT_LOSE
2654,35,18,141.7,4,4,4,444,12,CHAMP
3002,139,17,141.6,2,4,4,244,10,RISK
4797,179,11,141.6,2,3,4,234,9,LOYAL
4916,304,13,141.5,1,3,4,134,8,LOYAL
3116,385,14,141.4,1,4,4,144,9,CANT_LOSE
4445,29,15,141.2,4,4,4,444,12,CHAMP
1894,88,14,141.2,3,4,4,344,11,LOYAL
3518,65,15,140.95,3,4,4,344,11,LOYAL
1943,91,20,140.87,3,4,4,344,11,LOYAL
2454,50,19,140.7,4,4,4,444,12,CHAMP
1322,72,15,140.64,3,4,4,344,11,LOYAL
2687,107,16,140.6,3,4,4,344,11,LOYAL
2293,11,19,140.57,4,4,4,444,12,CHAMP
4541,256,10,140.4,2,3,4,234,9,LOYAL
3718,73,18,140.4,3,4,4,344,11,LOYAL
2964,141,12,140.22,2,3,4,234,9,LOYAL
3571,19,14,140.21,4,4,4,444,12,CHAMP
1821,223,8,140.2,2,2,4,224,8,LOYAL
3072,205,16,140.15,2,4,4,244,10,RISK
4832,27,13,140.02,4,3,4,434,11,POT_LOYAL
2040,84,15,140.01,3,4,4,344,11,LOYAL
3809,281,9,139.9,1,2,4,124,7,LOYAL
2018,127,13,139.6,3,3,4,334,10,LOYAL
1341,61,12,139.4,3,3,4,334,10,LOYAL
1457,355,12,139.4,1,3,4,134,8,LOYAL
2399,321,11,139.3,1,3,4,134,8,LOYAL
2042,41,14,139.25,4,4,4,444,12,CHAMP
3741,39,16,139.1,4,4,4,444,12,CHAMP
4661,234,17,139.1,2,4,4,244,10,RISK
3621,58,16,139.05,3,4,4,344,11,LOYAL
1239,121,16,139.01,3,4,4,344,11,LOYAL
3819,185,10,138.8,2,3,4,234,9,LOYAL
4972,327,13,138.71,1,3,4,134,8,LOYAL
3526,126,10,138.63,3,3,4,334,10,LOYAL
1081,241,16,138.62,2,4,4,244,10,RISK
2375,21,11,138.6,4,3,4,434,11,POT_LOYAL
4202,28,13,138.4,4,3,4,434,11,POT_LOYAL
4301,10,15,138.26,4,4,4,444,12,CHAMP
2289,56,16,137.85,4,4,4,444,12,CHAMP
4746,21,14,137.8,4,4,4,444,12,CHAMP
2066,223,12,137.7,2,3,4,234,9,LOYAL
1416,130,14,137.7,3,4,4,344,11,LOYAL
2310,281,16,137.68,1,4,4,144,9,CANT_LOSE
4951,36,13,137.61,4,3,4,434,11,POT_LOYAL
3670,378,9,137.55,1,2,4,124,7,LOYAL
1939,61,14,137.53,3,4,4,344,11,LOYAL
4092,91,10,137.51,3,3,4,334,10,LOYAL
3498,274,8,137.5,1,2,4,124,7,LOYAL
3170,27,12,137.4,4,3,4,434,11,POT_LOYAL
3677,30,13,137.16,4,3,4,434,11,POT_LOYAL
4262,75,17,137.1,3,4,4,344,11,LOYAL
2432,18,14,137.01,4,4,4,444,12,CHAMP
3469,224,16,137.0,2,4,4,244,10,RISK
3904,233,8,137.0,2,2,4,224,8,LOYAL
1917,154,11,137.0,2,3,4,234,9,LOYAL
1327,143,18,136.92,2,4,4,244,10,RISK
1157,452,7,136.91,1,2,4,124,7,LOYAL
4131,276,11,136.8,1,3,4,134,8,LOYAL
3481,87,15,136.8,3,4,4,344,11,LOYAL
2484,140,14,136.76,2,4,4,244,10,RISK
3427,246,9,136.7,2,2,4,224,8,LOYAL
3844,104,16,136.6,3,4,4,344,11,LOYAL
3841,164,17,136.38,2,4,4,244,10,RISK
1165,1,9,136.2,4,2,4,424,10,POT_LOYAL
3292,108,6,136.2,3,1,4,314,8,LOYAL
1542,145,13,136.2,2,3,4,234,9,LOYAL
3687,8,19,136.09,4,4,4,444,12,CHAMP
4222,3,13,136.0,4,3,4,434,11,POT_LOYAL
4574,30,21,135.9,4,4,4,444,12,CHAMP
3347,208,14,135.8,2,4,4,244,10,RISK
1623,58,12,135.7,3,3,4,334,10,LOYAL
4082,243,11,135.7,2,3,4,234,9,LOYAL
2254,340,12,135.7,1,3,4,134,8,LOYAL
4299,138,15,135.69,3,4,4,344,11,LOYAL
3489,42,15,135.61,4,4,4,444,12,CHAMP
1561,158,19,135.55,2,4,4,244,10,RISK
2760,144,23,135.4,2,4,4,244,10,RISK
3782,330,18,135.35,1,4,4,144,9,CANT_LOSE
4108,94,14,135.35,3,4,4,344,11,LOYAL
4335,25,17,135.32,4,4,4,444,12,CHAMP
1798,363,17,135.2,1,4,4,144,9,CANT_LOSE
2645,186,18,135.1,2,4,4,244,10,RISK
3414,68,13,135.0,3,3,4,334,10,LOYAL
3749,296,9,134.99,1,2,4,124,7,LOYAL
4572,62,18,134.8,3,4,4,344,11,LOYAL
2437,45,15,134.7,4,4,4,444,12,CHAMP
3942,50,23,134.61,4,4,4,444,12,CHAMP
4418,87,8,134.6,3,2,4,324,9,LOYAL
4356,29,9,134.52,4,2,4,424,10,POT_LOYAL
4056,71,16,134.47,3,4,4,344,11,LOYAL
2595,341,17,134.45,1,4,4,144,9,CANT_LOSE
2340,32,18,134.4,4,4,4,444,12,CHAMP
2028,10,13,134.29,4,3,4,434,11,POT_LOYAL
3522,98,10,134.21,3,3,4,334,10,LOYAL
4988,10,17,134.2,4,4,4,444,12,CHAMP
4567,89,12,134.01,3,3,4,334,10,LOYAL
2784,47,13,133.96,4,3,4,434,11,POT_LOYAL
3617,257,11,133.9,2,3,4,234,9,LOYAL
2415,144,14,133.9,2,4,4,244,10,RISK
4992,193,11,133.9,2,3,4,234,9,LOYAL
4820,23,18,133.8,4,4,4,444,12,CHAMP
4633,135,14,133.8,3,4,4,344,11,LOYAL
2771,126,7,133.7,3,2,4,324,9,LOYAL
1733,190,17,133.6,2,4,4,244,10,RISK
4138,81,12,133.39,3,3,4,334,10,LOYAL
2849,36,11,133.35,4,3,4,434,11,POT_LOYAL
2978,35,19,133.3,4,4,4,444,12,CHAMP
4441,51,16,133.3,4,4,4,444,12,CHAMP
1144,76,16,133.25,3,4,4,344,11,LOYAL
1817,131,12,133.2,3,3,4,334,10,LOYAL
3878,155,16,133.01,2,4,4,244,10,RISK
2785,73,10,132.97,3,3,4,334,10,LOYAL
4006,12,12,132.81,4,3,4,434,11,POT_LOYAL
3186,35,10,132.81,4,3,4,434,11,POT_LOYAL
2540,300,17,132.71,1,4,4,144,9,CANT_LOSE
2769,152,12,132.63,2,3,4,234,9,LOYAL
3325,31,13,132.62,4,3,4,434,11,POT_LOYAL
1619,62,11,132.61,3,3,4,334,10,LOYAL
3144,136,13,132.54,3,3,4,334,10,LOYAL
3743,238,17,132.51,2,4,4,244,10,RISK
3679,7,21,132.39,4,4,4,444,12,CHAMP
4104,30,16,132.35,4,4,4,444,12,CHAMP
3268,54,16,132.27,4,4,4,444,12,CHAMP
1726,4,13,132.1,4,3,4,434,11,POT_LOYAL
1342,314,13,132.06,1,3,4,134,8,LOYAL
3881,267,13,132.05,2,3,4,234,9,LOYAL
1616,22,13,132.0,4,3,4,434,11,POT_LOYAL
3963,104,13,131.85,3,3,4,334,10,LOYAL
3843,74,9,131.81,3,2,4,324,9,LOYAL
3166,246,14,131.8,2,4,4,244,10,RISK
3181,17,14,131.7,4,4,4,444,12,CHAMP
4156,149,13,131.65,2,3,4,234,9,LOYAL
3557,163,11,131.63,2,3,4,234,9,LOYAL
3450,6,17,131.57,4,4,4,444,12,CHAMP
1356,113,10,131.44,3,3,4,334,10,LOYAL
2284,287,13,131.41,1,3,4,134,8,LOYAL
2747,122,12,131.3,3,3,4,334,10,LOYAL
2252,83,20,131.17,3,4,4,344,11,LOYAL
4252,264,9,131.16,2,2,4,224,8,LOYAL
3025,72,11,131.0,3,3,4,334,10,LOYAL
4288,47,12,131.0,4,3,4,434,11,POT_LOYAL
2944,332,13,130.9,1,3,4,134,8,LOYAL
1540,34,12,130.9,4,3,4,434,11,POT_LOYAL
4258,19,13,130.7,4,3,4,434,11,POT_LOYAL
1507,191,16,130.6,2,4,4,244,10,RISK
4266,152,19,130.5,2,4,4,244,10,RISK
4163,214,15,130.5,2,4,4,244,10,RISK
3258,224,13,130.35,2,3,4,234,9,LOYAL
4503,11,11,130.3,4,3,4,434,11,POT_LOYAL
3284,41,16,130.2,4,4,4,444,12,CHAMP
2523,179,15,130.06,2,4,4,244,10,RISK
4124,112,17,130.05,3,4,4,344,11,LOYAL
4211,470,12,130.01,1,3,4,134,8,LOYAL
2676,53,14,129.9,4,4,4,444,12,CHAMP
2825,1,10,129.9,4,3,4,434,11,POT_LOYAL
3128,122,17,129.8,3,4,4,344,11,LOYAL
1948,127,21,129.75,3,4,4,344,11,LOYAL
1027,227,9,129.7,2,2,4,224,8,LOYAL
4277,24,23,129.66,4,4,4,444,12,CHAMP
4129,53,17,129.64,4,4,4,444,12,CHAMP
3497,36,22,129.4,4,4,4,444,12,CHAMP
4525,84,15,129.4,3,4,4,344,11,LOYAL
1107,90,20,129.38,3,4,4,344,11,LOYAL
4337,65,9,129.36,3,2,4,324,9,LOYAL
1062,103,16,129.32,3,4,4,344,11,LOYAL
2452,141,11,129.16,2,3,4,234,9,LOYAL
2356,121,14,129.0,3,4,4,344,11,LOYAL
4692,64,15,129.0,3,4,4,344,11,LOYAL
3500,162,17,128.96,2,4,4,244,10,RISK
4095,1,6,128.9,4,1,4,414,9,LOYAL
4637,230,11,128.9,2,3,4,234,9,LOYAL
2215,34,14,128.8,4,4,4,444,12,CHAMP
4427,333,12,128.71,1,3,4,134,8,LOYAL
4485,158,12,128.55,2,3,4,234,9,LOYAL
4515,198,19,128.51,2,4,4,244,10,RISK
4340,5,13,128.5,4,3,4,434,11,POT_LOYAL
3232,12,16,128.45,4,4,4,444,12,CHAMP
2315,10,14,128.42,4,4,4,444,12,CHAMP
2186,120,20,128.26,3,4,4,344,11,LOYAL
4169,36,15,128.2,4,4,4,444,12,CHAMP
3081,463,15,128.04,1,4,4,144,9,CANT_LOSE
1606,49,8,128.0,4,2,4,424,10,POT_LOYAL
2194,208,15,127.91,2,4,4,244,10,RISK
1758,307,14,127.84,1,4,4,144,9,CANT_LOSE
1759,95,12,127.8,3,3,4,334,10,LOYAL
2757,14,10,127.8,4,3,4,434,11,POT_LOYAL
2504,138,11,127.71,3,3,4,334,10,LOYAL
4546,118,11,127.71,3,3,4,334,10,LOYAL
1878,33,21,127.61,4,4,4,444,12,CHAMP
3354,31,15,127.6,4,4,4,444,12,CHAMP
1500,284,16,127.52,1,4,4,144,9,CANT_LOSE
2860,10,14,127.49,4,4,4,444,12,CHAMP
4780,102,20,127.22,3,4,4,344,11,LOYAL
1668,131,11,127.2,3,3,4,334,10,LOYAL
4194,233,14,127.2,2,4,4,244,10,RISK
4880,475,6,127.1,1,1,4,114,6,LOYAL
3294,180,13,127.05,2,3,4,234,9,LOYAL
4164,461,10,127.05,1,3,4,134,8,LOYAL
1225,224,19,127.0,2,4,4,244,10,RISK
2160,85,12,126.96,3,3,4,334,10,LOYAL
4160,140,13,126.92,2,3,4,234,9,LOYAL
1929,173,21,126.9,2,4,4,244,10,RISK
2617,222,16,126.85,2,4,4,244,10,RISK
2475,50,14,126.8,4,4,4,444,12,CHAMP
4107,45,12,126.67,4,3,4,434,11,POT_LOYAL
3954,323,7,126.5,1,2,4,124,7,LOYAL
1783,176,18,126.25,2,4,4,244,10,RISK
1853,213,9,126.1,2,2,4,224,8,LOYAL
4182,131,14,126.1,3,4,4,344,11,LOYAL
1289,52,11,125.9,4,3,4,434,11,POT_LOYAL
1740,404,16,125.81,1,4,4,144,9,CANT_LOSE
1690,131,16,125.8,3,4,4,344,11,LOYAL
4776,66,17,125.7,3,4,4,344,11,LOYAL
1703,312,14,125.6,1,4,4,144,9,CANT_LOSE
2692,82,10,125.6,3,3,4,334,10,LOYAL
2507,0,13,125.6,4,3,4,434,11,POT_LOYAL
4718,117,13,125.49,3,3,4,334,10,LOYAL
3903,85,19,125.4,3,4,4,344,11,LOYAL
2950,81,15,125.34,3,4,4,344,11,LOYAL
3504,55,18,125.28,4,4,4,444,12,CHAMP
2597,137,15,125.25,3,4,4,344,11,LOYAL
3613,86,12,125.25,3,3,4,334,10,LOYAL
3769,306,11,125.15,1,3,4,134,8,LOYAL
4569,156,12,125.14,2,3,4,234,9,LOYAL
1242,16,17,125.11,4,4,4,444,12,CHAMP
4110,32,16,124.95,4,4,4,444,12,CHAMP
4938,20,16,124.88,4,4,4,444,12,CHAMP
1523,277,10,124.75,1,3,4,134,8,LOYAL
3297,223,12,124.71,2,3,4,234,9,LOYAL
4117,20,15,124.65,4,4,4,444,12,CHAMP
3655,317,5,124.6,1,1,4,114,6,LOYAL
1050,240,14,124.6,2,4,4,244,10,RISK
1753,131,17,124.5,3,4,4,344,11,LOYAL
1286,140,16,124.45,2,4,4,244,10,RISK
2465,3,11,124.31,4,3,4,434,11,POT_LOYAL
1343,59,10,124.22,3,3,4,334,10,LOYAL
4223,84,17,124.2,3,4,4,344,11,LOYAL
1126,227,9,124.2,2,2,4,224,8,LOYAL
4719,2,16,124.12,4,4,4,444,12,CHAMP
2907,376,17,124.05,1,4,4,144,9,CANT_LOSE
4580,31,8,124.02,4,2,4,424,10,POT_LOYAL
2580,43,12,124.01,4,3,4,434,11,POT_LOYAL
3539,340,14,124.0,1,4,4,144,9,CANT_LOSE
3102,26,7,123.86,4,2,4,424,10,POT_LOYAL
1269,91,14,123.62,3,4,4,344,11,LOYAL
4853,87,12,123.6,3,3,4,334,10,LOYAL
3054,185,18,123.6,2,4,4,244,10,RISK
2707,73,17,123.56,3,4,4,344,11,LOYAL
4362,172,15,123.55,2,4,4,244,10,RISK
2534,52,14,123.52,4,4,4,444,12,CHAMP
3460,36,16,123.51,4,4,4,444,12,CHAMP
3041,106,14,123.49,3,4,4,344,11,LOYAL
1497,81,9,123.42,3,2,4,324,9,LOYAL
3683,25,14,123.12,4,4,4,444,12,CHAMP
3042,3,22,123.1,4,4,4,444,12,CHAMP
3863,200,14,122.92,2,4,4,244,10,RISK
4191,57,13,122.81,3,4,4,344,11,LOYAL
3910,12,13,122.74,4,4,4,444,12,CHAMP
4760,272,18,122.71,1,4,4,144,9,CANT_LOSE
3298,218,10,122.7,2,3,4,234,9,LOYAL
3900,10,14,122.65,4,4,4,444,12,CHAMP
1768,117,19,122.61,3,4,4,344,11,LOYAL
4736,162,11,122.6,2,3,4,234,9,LOYAL
1501,135,10,122.6,3,3,4,334,10,LOYAL
2303,518,6,122.6,1,1,4,114,6,LOYAL
4336,81,15,122.5,3,4,4,344,11,LOYAL
3794,34,11,122.41,4,3,4,434,11,POT_LOYAL
2167,22,9,122.41,4,2,4,424,10,POT_LOYAL
4643,28,16,122.15,4,4,4,444,12,CHAMP
3911,129,16,122.04,3,4,4,344,11,LOYAL
2672,34,12,121.8,4,3,4,434,11,POT_LOYAL
2510,92,14,121.8,3,4,4,344,11,LOYAL
4448,358,12,121.71,1,3,4,134,8,LOYAL
1692,185,15,121.65,2,4,4,244,10,RISK
3814,162,13,121.64,2,4,4,244,10,RISK
2307,184,11,121.62,2,3,4,234,9,LOYAL
3549,151,20,121.61,2,4,4,244,10,RISK
2850,278,9,121.6,1,2,4,124,7,LOYAL
3360,46,10,121.6,4,3,4,434,11,POT_LOYAL
2494,118,16,121.4,3,4,4,344,11,LOYAL
4623,175,14,121.4,2,4,4,244,10,RISK
4886,338,10,121.31,1,3,4,134,8,LOYAL
1209,414,9,121.29,1,2,4,124,7,LOYAL
2321,197,13,121.2,2,4,4,244,10,RISK
4968,47,7,121.2,4,2,4,424,10,POT_LOYAL
2338,22,11,121.2,4,3,4,434,11,POT_LOYAL
1114,173,16,121.12,2,4,4,244,10,RISK
4179,284,9,121.1,1,2,4,124,7,LOYAL
1823,33,11,120.9,4,3,4,434,11,POT_LOYAL
1549,287,9,120.85,1,2,4,124,7,LOYAL
2336,84,11,120.84,3,3,4,334,10,LOYAL
4073,58,13,120.76,3,4,4,344,11,LOYAL
3044,92,19,120.62,3,4,4,344,11,LOYAL
2157,62,11,120.56,3,3,4,334,10,LOYAL
1971,103,8,120.55,3,2,4,324,9,LOYAL
4190,3,21,120.49,4,4,4,444,12,CHAMP
1294,373,12,120.4,1,3,4,134,8,LOYAL
3597,17,6,120.3,4,1,4,414,9,LOYAL
3328,76,11,120.12,3,3,4,334,10,LOYAL
3689,154,10,120.1,2,3,4,234,9,LOYAL
3835,105,21,120.06,3,4,4,344,11,LOYAL
3967,37,16,119.99,4,4,4,444,12,CHAMP
3600,34,15,119.92,4,4,4,444,12,CHAMP
4019,124,17,119.9,3,4,4,344,11,LOYAL
3786,233,13,119.9,2,4,4,244,10,RISK
3699,18,9,119.8,4,2,4,424,10,POT_LOYAL
3962,101,14,119.66,3,4,4,344,11,LOYAL
4170,172,15,119.65,2,4,4,244,10,RISK
1636,25,12,119.6,4,3,4,434,11,POT_LOYAL
2552,359,13,119.53,1,4,4,144,9,CANT_LOSE
3296,135,14,119.5,3,4,4,344,11,LOYAL
3891,38,13,119.49,4,4,4,444,12,CHAMP
4766,92,17,119.26,3,4,4,344,11,LOYAL
4147,105,12,119.1,3,3,4,334,10,LOYAL
1780,78,21,119.05,3,4,4,344,11,LOYAL
3604,226,15,119.01,2,4,4,244,10,RISK
3947,200,10,119.0,2,3,4,234,9,LOYAL
4091,2,14,118.95,4,4,4,444,12,CHAMP
2004,131,13,118.81,3,4,4,344,11,LOYAL
4962,276,11,118.8,1,3,4,134,8,LOYAL
1148,94,19,118.76,3,4,4,344,11,LOYAL
4505,257,13,118.76,2,4,4,244,10,RISK
4743,179,13,118.64,2,4,4,244,10,RISK
3818,13,14,118.61,4,4,4,444,12,CHAMP
4550,51,15,118.6,4,4,4,444,12,CHAMP
1160,40,15,118.51,4,4,4,444,12,CHAMP
1628,41,15,118.4,4,4,4,444,12,CHAMP
1330,58,11,118.4,3,3,4,334,10,LOYAL
1895,402,13,118.38,1,4,4,144,9,CANT_LOSE
3160,238,10,118.26,2,3,4,234,9,LOYAL
4556,135,9,118.2,3,2,4,324,9,LOYAL
4440,29,12,118.2,4,3,4,434,11,POT_LOYAL
1347,106,13,118.2,3,4,4,344,11,LOYAL
3931,297,13,118.11,1,4,4,144,9,CANT_LOSE
3067,33,10,118.08,4,3,4,434,11,POT_LOYAL
3300,85,11,117.95,3,3,4,334,10,LOYAL
4722,14,10,117.91,4,3,4,434,11,POT_LOYAL
4779,51,16,117.9,4,4,4,444,12,CHAMP
4787,140,12,117.9,2,3,4,234,9,LOYAL
2840,145,15,117.9,2,4,4,244,10,RISK
2166,20,15,117.76,4,4,4,444,12,CHAMP
3476,185,15,117.68,2,4,4,244,10,RISK
4305,159,15,117.67,2,4,4,244,10,RISK
2201,222,14,117.65,2,4,4,244,10,RISK
1741,10,13,117.6,4,4,4,444,12,CHAMP
1022,571,6,117.5,1,1,4,114,6,LOYAL
3122,60,24,117.42,3,4,4,344,11,LOYAL
2715,177,15,117.4,2,4,4,244,10,RISK
3141,44,17,117.4,4,4,4,444,12,CHAMP
3356,221,16,117.3,2,4,4,244,10,RISK
3829,150,8,117.21,2,2,4,224,8,LOYAL
2311,59,17,117.2,3,4,4,344,11,LOYAL
2869,20,14,117.11,4,4,4,444,12,CHAMP
3189,37,17,117.04,4,4,4,444,12,CHAMP
1632,15,14,117.04,4,4,4,444,12,CHAMP
4470,7,14,117.0,4,4,4,444,12,CHAMP
3200,273,8,116.9,1,2,4,124,7,LOYAL
2063,33,13,116.9,4,4,4,444,12,CHAMP
4563,186,12,116.8,2,3,4,234,9,LOYAL
3396,230,13,116.8,2,4,4,244,10,RISK
2652,4,13,116.69,4,4,4,444,12,CHAMP
3488,9,7,116.65,4,2,4,424,10,POT_LOYAL
4537,10,13,116.5,4,4,4,444,12,CHAMP
4669,188,10,116.49,2,3,4,234,9,LOYAL
3804,192,9,116.33,2,2,4,224,8,LOYAL
2349,166,16,116.32,2,4,4,244,10,RISK
2816,80,24,116.3,3,4,4,344,11,LOYAL
2885,41,14,116.01,4,4,4,444,12,CHAMP
3620,195,15,116.01,2,4,4,244,10,RISK
3206,78,12,115.92,3,3,4,334,10,LOYAL
1486,16,17,115.9,4,4,4,444,12,CHAMP
1945,244,14,115.9,2,4,4,244,10,RISK
1513,48,10,115.8,4,3,4,434,11,POT_LOYAL
1674,26,12,115.56,4,3,4,434,11,POT_LOYAL
3523,51,15,115.55,4,4,4,444,12,CHAMP
1930,45,13,115.31,4,4,4,444,12,CHAMP
3637,8,13,115.3,4,4,4,444,12,CHAMP
4289,83,9,115.3,3,2,4,324,9,LOYAL
1482,38,20,115.28,4,4,4,444,12,CHAMP
4071,76,9,115.26,3,2,4,324,9,LOYAL
3785,501,9,115.2,1,2,4,124,7,LOYAL
4387,105,17,115.2,3,4,4,344,11,LOYAL
1661,52,17,115.17,4,4,4,444,12,CHAMP
2341,373,10,115.02,1,3,4,134,8,LOYAL
1254,255,5,115.0,2,1,4,214,7,LOYAL
4152,195,16,115.0,2,4,4,244,10,RISK
1973,67,2,114.9,3,1,4,314,8,LOYAL
2700,45,9,114.89,4,2,4,424,10,POT_LOYAL
1639,81,7,114.81,3,2,4,324,9,LOYAL
4352,1,13,114.75,4,4,4,444,12,CHAMP
4598,42,18,114.7,4,4,4,444,12,CHAMP
2453,9,15,114.69,4,4,4,444,12,CHAMP
1954,146,11,114.62,2,3,4,234,9,LOYAL
3435,417,10,114.6,1,3,4,134,8,LOYAL
4426,207,15,114.5,2,4,4,244,10,RISK
1480,39,13,114.44,4,4,4,444,12,CHAMP
1535,180,8,114.36,2,2,4,224,8,LOYAL
1305,220,12,114.31,2,3,4,234,9,LOYAL
4652,266,13,114.3,2,4,4,244,10,RISK
1178,45,11,114.25,4,3,4,434,11,POT_LOYAL
3113,195,12,114.1,2,3,4,234,9,LOYAL
4162,8,14,114.0,4,4,4,444,12,CHAMP
3095,78,16,114.0,3,4,4,344,11,LOYAL
4608,35,12,114.0,4,3,4,434,11,POT_LOYAL
4784,110,5,114.0,3,1,4,314,8,LOYAL
3491,65,14,113.8,3,4,4,344,11,LOYAL
1041,272,10,113.75,1,3,4,134,8,LOYAL
4150,126,12,113.71,3,3,4,334,10,LOYAL
1493,90,15,113.7,3,4,4,344,11,LOYAL
3111,7,16,113.7,4,4,4,444,12,CHAMP
3139,253,16,113.66,2,4,4,244,10,RISK
3204,236,11,113.63,2,3,4,234,9,LOYAL
2043,253,16,113.58,2,4,4,244,10,RISK
1162,146,12,113.5,2,3,4,234,9,LOYAL
4720,311,13,113.41,1,4,4,144,9,CANT_LOSE
2235,66,13,113.35,3,4,4,344,11,LOYAL
3353,138,19,113.35,3,4,4,344,11,LOYAL
1658,118,12,113.3,3,3,4,334,10,LOYAL
2035,7,11,113.22,4,3,4,434,11,POT_LOYAL
3552,119,13,113.16,3,4,4,344,11,LOYAL
4178,47,20,113.15,4,4,4,444,12,CHAMP
3719,13,19,113.1,4,4,4,444,12,CHAMP
4933,306,21,113.05,1,4,4,144,9,CANT_LOSE
2863,541,7,113.0,1,2,4,124,7,LOYAL
1750,325,12,112.96,1,3,4,134,8,LOYAL
1279,111,17,112.91,3,4,4,344,11,LOYAL
3746,51,13,112.91,4,4,4,444,12,CHAMP
3653,51,11,112.8,4,3,4,434,11,POT_LOYAL
1765,294,8,112.8,1,2,4,124,7,LOYAL
3224,291,10,112.76,1,3,4,134,8,LOYAL
3329,312,13,112.6,1,4,4,144,9,CANT_LOSE
1179,475,5,112.6,1,1,4,114,6,LOYAL
1472,102,16,112.6,3,4,4,344,11,LOYAL
2592,90,15,112.54,3,4,4,344,11,LOYAL
4573,7,16,112.5,4,4,4,444,12,CHAMP
3573,271,9,112.4,2,2,4,224,8,LOYAL
1067,163,8,112.31,2,2,4,224,8,LOYAL
3370,48,11,112.1,4,3,4,434,11,POT_LOYAL
3817,366,14,112.0,1,4,4,144,9,CANT_LOSE
4859,112,8,112.0,3,2,4,324,9,LOYAL
1947,532,9,112.0,1,2,4,124,7,LOYAL
